±¤Á¾,Ç°¸ñ,´ë·ú,±¹°¡,´ÜÀ§,2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®
´ÏÄÌ,refined,AMERICA,Guatemala,ÃµÅæ,0,0,0,2.985,10.818,8.688,12.417,14.688,20.323,22.894,19.931,18.419
´ÏÄÌ,refined,AMERICA,Venezuela,ÃµÅæ,13.4,8.1,3.261,2.5,4.851,0,0,0,0,0,0,0
´ÏÄÌ,refined,OCEANIA,Australia,ÃµÅæ,110.213,125.634,141.252,137.762,152.978,120.52,108.5,114.517,106.47,115.8,98.97,104.4
´ÏÄÌ,refined,OCEANIA,New Caledonia,ÃµÅæ,40.513,45.383,48.371,62.049,77.53,95.983,104.094,107.914,87.921,72.455,56.603,66.22
Àº,mine,EUROPE,Armenia,kg,16.146,13.968,14.081,13.3,15,16,18.5,18.5,17.9,19.5,19.5,19.5
Àº,mine,EUROPE,Bulgaria,kg,54.999,46.523,55.637,50.2,37.955,59.6,59.5,47,40.1,39.1,40,38
Àº,mine,EUROPE,Finland,kg,73.081,10.479,14.226,12.83,13.051,16.348,13.654,12.849,40.461,54.833,45.338,45.396
Àº,mine,EUROPE,Greece,kg,28.704,31.231,36.393,33.659,26.542,29.362,34.2,34.9,43.8,50.3,47.94,30.215
Àº,mine,EUROPE,Ireland,kg,6.1,9.454,7.822,6.4,3.831,1.076,1.344,1.21,1.578,0.918,1.342,2.75
Àº,mine,EUROPE,Poland,kg,1167,1149,1393,1384,1407,1264.7,1290,1264,1249,1218.2,1302.9,1573.7
Àº,mine,EUROPE,Portugal,kg,28.382,29.89,40.621,43.171,41.336,38.63,40.185,90.82,90.8,96,50.884,41.707
Àº,mine,EUROPE,Romania,kg,18,18,18,18,18,18,18,18,18,18,18,18
Àº,mine,EUROPE,Russia,kg,1134,1399.6,1427.7,1434,1580.1,1493,1373,1400.1,1361,1321.9,1213,1212
Àº,mine,EUROPE,Serbia,kg,7.4,8.4,8.4,8.4,5.4,11.3,12.3,9,14.5,11.9,12,12
Àº,mine,EUROPE,Spain,kg,30.811,31.054,27.979,27.306,27.287,17.6,98.6,87.8,77.5,92.8,81.2,81.4
Àº,mine,EUROPE,Sweden,kg,301.959,309.337,341.346,382.611,479.686,515.039,488.135,471.325,423.776,400.929,428.601,459.52
Àº,mine,EUROPE,United Kingdom,kg,0.527,0.228,0.082,0,0,0,0,0,0.13,0.124,0.4,0.4
Àº,mine,EUROPE,Other Europe,kg,32.139,33.268,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
Àº,mine,AFRICA,Botswana  ,kg,0,7.564,22.591,22.228,2.8,0,0,0,0,0,10.4,0.04
Àº,mine,AFRICA,Burkina Faso,kg,0,0,0,0,5.5,5.8,7,8,8,8,8.9,8.6
Àº,mine,AFRICA,Democratic Republic Congo,kg,10.08,12.342,60.432,6.487,2.4,0.834,3.4,3.4,3.4,3.4,3.397,3.398
Àº,mine,AFRICA,Eritrea ,kg,4,30,16,53,98,98,79,54,44.8,65.3,68.6,68.5
Àº,mine,AFRICA,Ivory Coast  ,kg,0.098,0.41,0.536,0.608,0.9,0.594,0.482,0.137,0,0,0,0
Àº,mine,AFRICA,Morocco,kg,186.09,170.34,194.08,185.77,215.964,237.201,237.323,151.688,185.7,167,208.197,210.075
Àº,mine,AFRICA,Namibia,kg,0,0.966,1.4,1.128,0.689,0,0,5.121,7.8,6.781,5.3,5.511
Àº,mine,AFRICA,South Africa,kg,73.246,67.305,68.633,37.3,51.861,55.622,62.536,46.467,55.903,38.118,37.147,44.987
Àº,mine,AFRICA,Tanzania,kg,10.399,11.227,12.159,14.493,15.6,17.984,10.911,12.041,12.607,13.187,9.3,16.678
Àº,mine,AFRICA,Other Africa,kg,16.657,19.374,18.325,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42
Àº,mine,ASIA,Azerbaijan,kg,5.465,3.677,1.916,0.97,0.758,4.816,4.669,8.9,8.2,7.6,9,5.659
Àº,mine,ASIA,China,kg,3231.6,3639.1,3673.32,3567.572,3421.4,3754,3601.8,3421.4,3443,3377.8,3511.6,3510
Àº,mine,ASIA,India,kg,203.456,374,366.897,337.94,490.191,445.367,526.604,658.055,582.335,633,689,731.013
